we were not dissappointed in the least bit by this little gem .	-1,-1 RESTAURANT#GENERAL 2 11,12			
the bagel was huge .	1,2 FOOD#STYLE_OPTIONS 2 3,4			
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .	7,8 FOOD#STYLE_OPTIONS 0 15,16			
i loved it and would highly recommend .	-1,-1 RESTAURANT#GENERAL 2 1,2	-1,-1 RESTAURANT#GENERAL 2 6,7		
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .	19,20 FOOD#QUALITY 2 17,18	22,23 SERVICE#GENERAL 2 17,18		
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .	6,8 FOOD#QUALITY 2 4,5	21,22 FOOD#QUALITY 2 20,21		
other guests enjoyed pizza , santa fe chopped salad and fish and chips .	3,4 FOOD#QUALITY 2 2,3	5,9 FOOD#QUALITY 2 2,3	10,13 FOOD#QUALITY 2 2,3	
i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .	11,12 FOOD#QUALITY 2 2,3	14,15 AMBIENCE#GENERAL 2 2,3	17,18 SERVICE#GENERAL 2 16,17	
all the staff is absolutely professional ! !	2,3 SERVICE#GENERAL 2 5,6			
( that is a must , but not every restaurant can do . . . )	-1,-1 SERVICE#GENERAL 2 4,5			
there ' s nice and quiet , small but enough for 6 ( or more ) .	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 5,6		
this restaurant was way overhyped .	1,2 RESTAURANT#GENERAL 0 4,5			
my chow fun and chow see was really bland and oily .	1,6 FOOD#QUALITY 0 8,9	1,6 FOOD#QUALITY 0 10,11		
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .	-1,-1 FOOD#QUALITY 0 24,25			
the scallion pancakes and fried dumplings were nothing out of the ordinary .	1,3 FOOD#QUALITY 1 11,12	4,6 FOOD#QUALITY 1 7,12		
the service was the only thing good about this restaurant .	1,2 SERVICE#GENERAL 2 6,7	9,10 RESTAURANT#GENERAL 2 -1,-1		
it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .	10,11 FOOD#QUALITY 0 13,15	19,20 FOOD#QUALITY 0 21,22	25,26 FOOD#QUALITY 0 27,29	-1,-1 AMBIENCE#GENERAL 0 3,4
i definitely would n ' t go back .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
their pad penang is delicious and everything else is fantastic .	1,3 FOOD#QUALITY 2 4,5	-1,-1 FOOD#QUALITY 2 9,10		
the price is reasonable although the service is poor .	6,7 SERVICE#GENERAL 0 8,9	-1,-1 RESTAURANT#PRICES 2 3,4		
great for a romantic evening , or a fun evening with friends . . .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 8,9	
i will be going back very soon .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
keep up the good work .	-1,-1 RESTAURANT#GENERAL 2 3,4			
it was wonderful .	-1,-1 RESTAURANT#GENERAL 2 2,3			
the salads are delicious , both refreshing and very spicy .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 6,7	1,2 FOOD#QUALITY 2 9,10	
we had pam ' s special fried fish and it was amazing .	2,8 FOOD#QUALITY 2 11,12			
too large for just two people but nothing was left .	-1,-1 FOOD#STYLE_OPTIONS 0 0,2	-1,-1 FOOD#QUALITY 2 -1,-1		
great vibe , lots of people .	1,2 AMBIENCE#GENERAL 2 0,1			
my husbands was perfect , my was well done and dry .	-1,-1 FOOD#QUALITY 2 3,4	-1,-1 FOOD#QUALITY 2 7,9	-1,-1 FOOD#QUALITY 0 10,11	
i did n ' t complain , i liked the atmosphere so much .	10,11 AMBIENCE#GENERAL 2 8,9			
on a hot day it was fabulous to stop in and enjoy lunch .	-1,-1 RESTAURANT#GENERAL 2 6,7			
ambience is so cute and quaint , good for business although we were there on vacation .	0,1 AMBIENCE#GENERAL 2 3,4	0,1 AMBIENCE#GENERAL 2 5,6	-1,-1 RESTAURANT#MISCELLANEOUS 2 7,8	
salads were fantastic .	0,1 FOOD#QUALITY 2 2,3			
although we were looking for regular lettuce and some walnuts the salads we got were great .	11,12 FOOD#QUALITY 2 15,16			
ingredients are organic which is a real plus for me .	0,1 FOOD#QUALITY 2 2,3	0,1 FOOD#QUALITY 2 7,8		
we will be back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the spicy tuna roll is huge and probably the best that i ' ve had at this price range .	1,4 FOOD#STYLE_OPTIONS 2 5,6	1,4 FOOD#QUALITY 2 9,10	1,4 FOOD#PRICES 2 9,10	
the yellowtail was particularly good as well .	1,2 FOOD#QUALITY 2 4,5			
i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .	5,10 FOOD#STYLE_OPTIONS 0 18,19	5,10 FOOD#PRICES 0 -1,-1		
in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town .	7,8 RESTAURANT#GENERAL 2 -1,-1			
big wong gets big ups for a fine establishment .	0,2 RESTAURANT#GENERAL 2 3,5	0,2 RESTAURANT#GENERAL 2 7,8		
they have it all - - great price , food , and service .	9,10 FOOD#QUALITY 2 6,7	12,13 SERVICE#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 6,7	-1,-1 RESTAURANT#PRICES 2 6,7
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .	1,2 AMBIENCE#GENERAL 0 3,4	6,7 SERVICE#GENERAL 2 14,15		
the food is prepared quickly and efficiently .	-1,-1 SERVICE#GENERAL 2 4,5	-1,-1 SERVICE#GENERAL 2 6,7		
and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .	-1,-1 FOOD#PRICES 2 7,8	10,11 FOOD#PRICES 2 7,8	12,13 FOOD#PRICES 2 7,8	15,17 FOOD#PRICES 2 7,8
the takeout is great too since they give high quality tupperware as well .	1,2 SERVICE#GENERAL 2 3,4			
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .	4,6 FOOD#QUALITY 2 0,1	4,6 FOOD#QUALITY 2 3,4	10,14 FOOD#QUALITY 2 20,21	
we both opted for a pasta dish and they were served timely and fresh .	5,7 FOOD#QUALITY 2 13,14	-1,-1 SERVICE#GENERAL 2 10,12		
we concluded with tiramisu chocolate cake , both were delicious .	3,6 FOOD#QUALITY 2 9,10			
we ' d go back again	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
i recently went to this restaurant with some co - workers for lunch and had an amazing time .	5,6 RESTAURANT#GENERAL 2 16,18			
the staff was accomodating , the food was absolutely delicious and the place is lovely .	1,2 SERVICE#GENERAL 2 3,4	6,7 FOOD#QUALITY 2 9,10	12,13 AMBIENCE#GENERAL 2 14,15	
we even had a visit from the manager who wanted to make sure we were enjoying ourselves .	7,8 SERVICE#GENERAL 2 -1,-1			
yes , the prices are high , but i felt it was worth it .	-1,-1 RESTAURANT#PRICES 0 5,6	-1,-1 RESTAURANT#GENERAL 2 12,13		
we all felt it was worth it .	-1,-1 RESTAURANT#GENERAL 2 5,6			
sometimes i get good food and ok service .	4,5 FOOD#QUALITY 2 3,4	7,8 SERVICE#GENERAL 1 6,7		
sometimes i get bad food and bad service , sometimes i get good good and bad service .	4,5 FOOD#QUALITY 0 3,4	7,8 SERVICE#GENERAL 0 6,7	13,14 FOOD#QUALITY 2 12,13	16,17 SERVICE#GENERAL 0 15,16
it is not consistent .	-1,-1 RESTAURANT#GENERAL 0 2,4			
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .	9,10 FOOD#STYLE_OPTIONS 2 8,9	17,18 AMBIENCE#GENERAL 2 16,17	-1,-1 SERVICE#GENERAL 2 13,14	
and where does patis go wrong ; no where .	3,4 RESTAURANT#GENERAL 2 -1,-1			
you are not eating haut cuisine with subtle hints of whatever but : cassuolet , steake fritte , tripe stew , etc ; simple stuff .	-1,-1 FOOD#STYLE_OPTIONS 2 -1,-1	-1,-1 FOOD#QUALITY 2 -1,-1		
right off the l in brooklyn this is a nice cozy place with good pizza .	14,15 FOOD#QUALITY 2 13,14	11,12 AMBIENCE#GENERAL 2 9,10	11,12 AMBIENCE#GENERAL 2 10,11	
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .	14,15 FOOD#QUALITY 0 18,19	-1,-1 FOOD#QUALITY 2 7,8		
my friend got the mushroom pizza which tasted better .	4,6 FOOD#QUALITY 2 8,9			
the sangria was pretty tasty and good on a hot muggy day .	1,2 DRINKS#QUALITY 2 4,5	1,2 DRINKS#QUALITY 2 6,7		
kind of a small place but i guess if they are not too busy might be able to fit a group or kids .	4,5 RESTAURANT#MISCELLANEOUS 1 3,4			
overall i would recommend it and go back again .	-1,-1 RESTAURANT#GENERAL 2 3,4			
i started out with a bombay beer which was big enough for two .	5,7 DRINKS#STYLE_OPTIONS 2 9,10			
mmmmm . . . it was delicious .	-1,-1 FOOD#QUALITY 2 6,7			
service was slow , but the people were friendly .	0,1 SERVICE#GENERAL 0 2,3	6,7 SERVICE#GENERAL 2 8,9		
it ' s a nice place to relax and have conversation .	5,6 AMBIENCE#GENERAL 2 4,5			
i ca n ' t wait to go back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the food is authentic italian - delicious !	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 6,7		
pizza is terrific , as is homemade pasta .	0,1 FOOD#QUALITY 2 2,3	6,7 FOOD#QUALITY 2 2,3		
ambience is delightful , service impeccable .	0,1 AMBIENCE#GENERAL 2 2,3	4,5 SERVICE#GENERAL 2 5,6		
service was also horrible and the ambience is not that great .	0,1 SERVICE#GENERAL 0 3,4	6,7 AMBIENCE#GENERAL 0 8,11		
do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .	-1,-1 RESTAURANT#MISCELLANEOUS 0 -1,-1			
i go and eat out at many different restaurants and this is one place you have go and try .	13,14 RESTAURANT#GENERAL 2 -1,-1			
this is my first time writing a review for a restaurant because the food and service was excellent .	13,14 FOOD#QUALITY 2 17,18	15,16 SERVICE#GENERAL 2 17,18		
the filet mignon dish was superb !	1,4 FOOD#QUALITY 2 5,6			
i would defiantly come back here again as one of my top choices .	-1,-1 RESTAURANT#GENERAL 2 11,13			
it ' s a small cute restaurant .	6,7 RESTAURANT#GENERAL 2 4,5	6,7 RESTAURANT#GENERAL 2 5,6		
i absolutely love this place ! ! !	4,5 RESTAURANT#GENERAL 2 2,3			
i like the ambience , it ' s very dark and original .	3,4 AMBIENCE#GENERAL 2 1,2	3,4 AMBIENCE#GENERAL 2 9,10	3,4 AMBIENCE#GENERAL 2 11,12	
the sushi is amazing ! ! !	1,2 FOOD#QUALITY 2 3,4			
and amazingly cheap .	-1,-1 FOOD#PRICES 2 1,2			
very affordable and excellent ambient !	4,5 AMBIENCE#GENERAL 2 3,4	-1,-1 RESTAURANT#PRICES 2 1,2		
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .	3,8 FOOD#QUALITY 0 -1,-1			
we were very disappointed .	-1,-1 FOOD#QUALITY 0 3,4			
we wo n ' t go to this place again for a good meal .	13,14 FOOD#QUALITY 0 12,13			
however , i think this place is a good hang out spot .	5,6 AMBIENCE#GENERAL 2 8,9			
my girlfriend and i stumbled onto this hopping place the other night and had a great time !	8,9 RESTAURANT#GENERAL 2 15,17			
they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .	-1,-1 RESTAURANT#MISCELLANEOUS 2 30,31			
check this place out !	2,3 RESTAURANT#GENERAL 2 -1,-1			
highly recommended ! ! ! ! !	-1,-1 RESTAURANT#GENERAL 2 1,2			
first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review .	5,6 AMBIENCE#GENERAL 0 7,11			
either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th .	-1,-1 AMBIENCE#GENERAL 0 -1,-1			
the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .	1,2 AMBIENCE#GENERAL 0 3,4	1,2 AMBIENCE#GENERAL 0 6,7	9,10 FOOD#STYLE_OPTIONS 1 11,12	19,21 DRINKS#PRICES 0 23,24
slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .	3,4 DRINKS#QUALITY 0 1,3	3,4 DRINKS#PRICES 0 1,3		
service is not what one would expect from a joint in this price category .	0,1 SERVICE#GENERAL 0 2,7			
for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . .	-1,-1 SERVICE#GENERAL 0 -1,-1			
somehow working the italian charm with constant mille grazie does not constitute proper service .	13,14 SERVICE#GENERAL 0 10,13			
to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of teodora .	11,12 FOOD#QUALITY 2 15,17	31,32 RESTAURANT#GENERAL 0 29,30		
not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .	4,5 FOOD#QUALITY 0 6,7	15,19 FOOD#QUALITY 0 14,15		
fish was overdone .	0,1 FOOD#QUALITY 0 2,3			
cute place , nice wait staff but would never go there again .	4,6 SERVICE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 0,1	1,2 RESTAURANT#GENERAL 0 -1,-1	
someone else recommended the dessert - we also left that .	4,5 FOOD#QUALITY 0 2,3			
one of us actually liked the expresso - that ' s it .	6,7 DRINKS#QUALITY 2 4,5			
skip this restaurant , it ' s a big disappointment .	2,3 RESTAURANT#GENERAL 0 0,1	2,3 RESTAURANT#GENERAL 0 9,10		
myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .	0,1 RESTAURANT#GENERAL 2 5,6			
i ' ve never had bad service and the fish is fresh and delicious .	6,7 SERVICE#GENERAL 2 3,6	9,10 FOOD#QUALITY 2 11,12	9,10 FOOD#QUALITY 2 13,14	
their tuna tartar appetizer is to die for .	1,4 FOOD#QUALITY 2 6,8			
i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away .	19,20 FOOD#QUALITY 2 14,15			
the place is so cool and the service is prompt and curtious .	7,8 SERVICE#GENERAL 2 9,10	7,8 SERVICE#GENERAL 2 11,12	1,2 AMBIENCE#GENERAL 2 4,5	
i highly recommend to anyone to give this place a try .	8,9 RESTAURANT#GENERAL 2 2,3			
you will find yourself returning quite often .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .	14,15 FOOD#QUALITY 2 13,14	17,18 SERVICE#GENERAL 2 16,17	21,22 AMBIENCE#GENERAL 2 20,21	
no gimmicks here - - the food speaks for itself in its freshness and preparation .	6,7 FOOD#QUALITY 2 12,13	6,7 FOOD#QUALITY 2 14,15		
the dining room is quietly elegant with no music to shout over - - how refreshing !	1,3 AMBIENCE#GENERAL 2 5,6	1,3 AMBIENCE#GENERAL 2 15,16		
the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,6	9,10 SERVICE#GENERAL 2 -1,-1	
looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .	14,15 FOOD#QUALITY 2 13,14	18,19 AMBIENCE#GENERAL 2 17,18		
the view is breathtaking the service is top notch . . . the ambiance is wonderful .	1,2 LOCATION#GENERAL 2 3,4	5,6 SERVICE#GENERAL 2 7,9	13,14 AMBIENCE#GENERAL 2 15,16	
the staff offers impeccable service .	1,2 SERVICE#GENERAL 2 3,4			
i had lobster bisque it has 2 oz . of maine lobster in it .	2,4 FOOD#QUALITY 2 -1,-1			
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .	4,7 FOOD#QUALITY 2 9,10	19,21 FOOD#QUALITY 2 14,15		
it was divine melts in your mouth .	-1,-1 FOOD#QUALITY 2 2,3			
my boyfriend had prime rib it was good .	3,5 FOOD#QUALITY 2 7,8			
we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .	18,21 DRINKS#STYLE_OPTIONS 2 24,25			
it ' s cuz it ' s so good you need to taste it ! ! !	-1,-1 FOOD#QUALITY 2 8,9			
all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .	18,19 FOOD#QUALITY 2 -1,-1			
if you like spicy food get the chicken vindaloo .	7,9 FOOD#QUALITY 2 2,3			
it ' s very spicy but not offensive .	-1,-1 FOOD#QUALITY 2 6,8			
we will definitely go back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
go to volare for 1st class service and terrific food .	6,7 SERVICE#GENERAL 2 4,6	9,10 FOOD#QUALITY 2 8,9		
the portions are large and the servers always surprise us with a different starter .	1,2 FOOD#STYLE_OPTIONS 2 3,4			
the wine list is excellent .	1,3 DRINKS#STYLE_OPTIONS 2 4,5			
the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .	1,2 FOOD#QUALITY 2 3,4	12,17 FOOD#QUALITY 2 -1,-1	31,34 DRINKS#STYLE_OPTIONS 2 30,31	
the place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .	16,17 SERVICE#GENERAL 2 18,19	1,2 AMBIENCE#GENERAL 0 3,4	1,2 RESTAURANT#MISCELLANEOUS 2 5,6	1,2 AMBIENCE#GENERAL 0 12,13
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .	1,2 FOOD#PRICES 0 4,5	7,11 FOOD#QUALITY 2 13,14	7,11 FOOD#PRICES 2 17,18	-1,-1 SERVICE#GENERAL 2 -1,-1
please be aware that it ' s cash or amex only !	-1,-1 RESTAURANT#MISCELLANEOUS 1 -1,-1			
with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .	21,22 FOOD#QUALITY 1 24,25	21,22 FOOD#QUALITY 1 26,28	5,7 FOOD#QUALITY 0 2,3	
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .	5,7 FOOD#QUALITY 0 17,20			
the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .	1,2 AMBIENCE#GENERAL 1 7,10			
problem is nothing at prune is particularly memorable .	4,5 RESTAURANT#GENERAL 0 7,8			
no plans to return anytime soon .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
this place is so much fun .	1,2 AMBIENCE#GENERAL 2 5,6			
our family never expected such incredible entertainment in a restaurant .	6,7 AMBIENCE#GENERAL 2 5,6			
our food was great too !	1,2 FOOD#QUALITY 2 3,4			
and really large portions .	3,4 FOOD#STYLE_OPTIONS 2 2,3			
the staff was the friendliest that have seen in new york .	1,2 SERVICE#GENERAL 2 4,5			
if you want something really different than try jekyll and hyde .	8,11 RESTAURANT#GENERAL 2 5,6			
